"","CS_ID","age","workclass","education_num","marital_status","relationship","occupation","race","gender","hours_per_week","income","education_cat","hours_per_week_imp"
"7721","CS23350",18,"Private",2,"S","Not-in-family","White-Collar","White","f",40,45.38,"universitaria",FALSE
"7722","CS23360",8,"Private",5,"S","Husband","White-Collar","White","f",42.5,42.39,"universitaria",FALSE
"7723","CS23364",9,"Private",2,"S","Husband","Service","Other","f",40,27.27,"universitaria",FALSE
"7724","CS23365",49,"Private",4,"S","Not-in-family","Professional","White","f",30.5,41.71,"universitaria",FALSE
"7725","CS23367",12,"Private",2,"M","Husband","White-Collar","White","f",40.5,48.22,"universitaria",FALSE
"7726","CS23371",22.5804861517607,"Private",5,"S","Husband","Professional","White","f",10.5,40.82,"universitaria",FALSE
"7727","CS23373",1,"Other/Unknown",14,"S","Own-child","Other/Unknown","White","f",20.5,35.49,"secundaria",FALSE
"7728","CS23376",9,"Government",2,"S","Own-child","White-Collar","Black","f",40.5,47,"universitaria",FALSE
"7729","CS23382",23,"Private",7,"M","Husband","White-Collar","White","f",48.5,49.69,"postuniversitara",FALSE
"7730","CS23386",14,"Private",5,"S","Own-child","Sales","White","f",65,38.1,"universitaria",FALSE
"7731","CS23387",32,"Private",2,"X","Own-child","White-Collar","White","f",44,44.7,"universitaria",FALSE
"7732","CS23388",47,"Other/Unknown",6,"M","Unmarried","Other/Unknown","White","f",40.5,39.74,"postuniversitara",FALSE
"7733","CS23392",16,"Private",14,"D","Husband","Blue-Collar","White","f",40,45.04,"secundaria",FALSE
"7734","CS23393",24,"Government",2,"S","Unmarried","White-Collar","White","f",50.5,48.62,"universitaria",FALSE
"7735","CS23394",1,"Private",13,"S","Not-in-family","Service","White","f",15.5,40.02,"primaria",FALSE
"7736","CS23402",7,"Private",16,"M","Not-in-family","Blue-Collar","White","f",40,43.05,"secundaria",FALSE
"7737","CS23405",20,"Private",16,"S","Husband","Blue-Collar","Black","f",48.5,40.16,"secundaria",FALSE
"7738","CS23408",5,"Government",2,"S","Not-in-family","White-Collar","White","f",15,48.53,"universitaria",FALSE
"7739","CS23409",30,"Private",16,"M","Own-child","Service","White","f",40.5,44.77,"secundaria",FALSE
"7740","CS23412",25,"Private",16,"D","Husband","Blue-Collar","White","f",60,41.99,"secundaria",FALSE
"7741","CS23413",34,"Private",16,"W","Unmarried","White-Collar","White","f",35,47.6,"secundaria",FALSE
"7742","CS23414",20,"Private",14,"X","Unmarried","White-Collar","White","f",32.5,43.73,"secundaria",FALSE
"7743","CS23415",15,"Other/Unknown",16,"X","Not-in-family","Other/Unknown","White","f",20,34.25,"secundaria",FALSE
"7744","CS23418",36,"Private",11,"M","Husband","White-Collar","White","f",50.5,45.96,"primaria",FALSE
"7745","CS23424",40,"Government",6,"D","Husband","Professional","White","f",39.5,41.68,"postuniversitara",FALSE
"7746","CS23427",14,"Private",16,"S","Husband","Service","White","f",40.5,39.04,"secundaria",FALSE
"7747","CS23429",20,"Private",3,"M","Not-in-family","Professional","White","f",40.5,46.04,"universitaria",FALSE
"7748","CS23435",13,"Government",5,"S","Not-in-family","Professional","White","f",40.5,47.65,"universitaria",FALSE
"7749","CS23438",4,"Private",14,"S","Own-child","Sales","White","f",25,39.8,"secundaria",FALSE
"7750","CS23443",26,"Government",11,"M","Husband","Service","White","f",35,42.22,"primaria",FALSE
"7751","CS23448",5,"Private",11,"S","Own-child","Blue-Collar","White","f",38.5,39.95,"primaria",FALSE
"7752","CS23449",7,"Private",5,"S","Own-child","White-Collar","Asian-Pac-Islander","f",20,44.43,"universitaria",FALSE
"7753","CS23450",29,"Private",2,"D","Not-in-family","White-Collar","White","f",48.5,43.75,"universitaria",FALSE
"7754","CS23451",25,"Private",16,"D","Unmarried","Sales","White","f",40.5,36.89,"secundaria",FALSE
"7755","CS23453",22,"Private",2,"S","Husband","Service","Black","f",40,36.86,"universitaria",FALSE
"7756","CS23456",8,"Private",16,"S","Other-relative","White-Collar","White","f",40,43.27,"secundaria",FALSE
"7757","CS23457",12,"Government",5,"S","Not-in-family","Professional","White","f",40.5,44.89,"universitaria",FALSE
"7758","CS23458",8,"Private",3,"S","Not-in-family","White-Collar","Asian-Pac-Islander","f",20.5,39.94,"universitaria",FALSE
"7759","CS23461",21,"Private",16,"S","Husband","White-Collar","Black","f",40.5,41.32,"secundaria",FALSE
"7760","CS23462",12,"Private",5,"S","Unmarried","White-Collar","White","f",40.5,42.51,"universitaria",FALSE
"7761","CS23463",38,"Private",2,"D","Not-in-family","White-Collar","White","f",40,43.87,"universitaria",FALSE
"7762","CS23465",40,"Government",16,"W","Husband","White-Collar","Asian-Pac-Islander","f",40,46.29,"secundaria",FALSE
"7763","CS23466",11,"Government",5,"S","Unmarried","Professional","Other","f",45,36.78,"universitaria",FALSE
"7764","CS23473",22,"Private",2,"X","Not-in-family","Service","White","f",72.5,39.09,"universitaria",FALSE
"7765","CS23477",7,"Private",2,"S","Not-in-family","White-Collar","White","f",40.5,41.78,"universitaria",FALSE
"7766","CS23478",12,"Government",2,"S","Not-in-family","White-Collar","White","f",50.5,46.07,"universitaria",FALSE
"7767","CS23480",35,"Private",16,"M","Husband","Service","White","f",40.5,44,"secundaria",FALSE
"7768","CS23484",31,"Private",5,"D","Not-in-family","Blue-Collar","White","f",50,45.23,"universitaria",FALSE
"7769","CS23490",13,"Private",12,"S","Husband","Sales","White","f",48.5,39.8,"primaria",FALSE
"7770","CS23494",12,"Private",13,"S","Not-in-family","Service","Black","f",30,35.96,"primaria",FALSE
"7771","CS23502",15,"Other/Unknown",16,"W","Husband","Other/Unknown","White","f",36.5,36.91,"secundaria",FALSE
"7772","CS23506",1,"Private",14,"S","Husband","Blue-Collar","White","f",16.5,40.18,"secundaria",FALSE
"7773","CS23507",3,"Private",16,"S","Own-child","Service","White","f",20,38.12,"secundaria",FALSE
"7774","CS23510",18,"Private",9,"S","Husband","Service","White","f",40.5,35.56,"primaria",FALSE
"7775","CS23512",43,"Private",5,"S","Husband","Professional","White","f",62.5,43.16,"universitaria",FALSE
"7776","CS23513",7,"Private",3,"S","Not-in-family","Professional","White","f",36.5,40.23,"universitaria",FALSE
"7777","CS23514",17,"Private",16,"S","Not-in-family","Service","Black","f",40,36.09,"secundaria",FALSE
"7778","CS23516",24,"Private",16,"D","Not-in-family","White-Collar","White","f",50,44.55,"secundaria",FALSE
"7779","CS23517",12,"Private",11,"D","Unmarried","Service","White","f",50.5,37.64,"primaria",FALSE
"7780","CS23518",25,"Private",2,"M","Unmarried","Service","White","f",40.5,42.93,"universitaria",FALSE
"7781","CS23520",6,"Government",2,"S","Husband","White-Collar","White","f",40.5,45.5,"universitaria",FALSE
"7782","CS23524",6,"Private",16,"S","Not-in-family","Service","White","f",25.5,35.22,"secundaria",FALSE
"7783","CS23530",3,"Private",2,"S","Husband","Service","White","f",25.5,37.28,"universitaria",FALSE
"7784","CS23539",13,"Private",16,"X","Husband","Service","White","f",40,36.55,"secundaria",FALSE
"7785","CS23541",13,"Government",2,"S","Husband","Service","White","f",10.5,38.72,"universitaria",FALSE
"7786","CS23547",25,"Private",16,"S","Husband","Blue-Collar","White","f",40,40.84,"secundaria",FALSE
"7787","CS23548",16,"Private",5,"M","Unmarried","White-Collar","White","f",40,48.67,"universitaria",FALSE
"7788","CS23549",38,"Government",6,"S","Wife","Professional","White","f",45,43.29,"postuniversitara",FALSE
"7789","CS23551",2,"Other/Unknown",16,"S","Husband","Other/Unknown","Other","f",40,30.23,"secundaria",FALSE
"7790","CS23561",19,"Private",16,"X","Husband","White-Collar","White","f",40.5,46.3,"secundaria",FALSE
"7791","CS23572",3,"Private",2,"S","Husband","White-Collar","White","f",10,40.89,"universitaria",FALSE
"7792","CS23573",57,"Private",16,"D","Own-child","Service","White","f",16.5,40.64,"secundaria",FALSE
"7793","CS23574",13,"Private",2,"S","Not-in-family","Sales","White","f",25.5,35.45,"universitaria",FALSE
"7794","CS23576",7,"Private",5,"S","Husband","White-Collar","White","f",30.5,47.13,"universitaria",FALSE
"7795","CS23577",36,"Private",2,"D","Not-in-family","White-Collar","White","f",40.5,45.01,"universitaria",FALSE
"7796","CS23581",21,"Government",5,"S","Husband","Professional","White","f",40,42.21,"universitaria",FALSE
"7797","CS23584",4,"Private",2,"S","Husband","Sales","White","f",25.5,39.26,"universitaria",FALSE
"7798","CS23591",2,"Private",14,"S","Husband","Service","White","f",20.5,35.85,"secundaria",FALSE
"7799","CS23594",35,"Private",16,"X","Not-in-family","Service","Black","f",37.5,37.88,"secundaria",FALSE
"7800","CS23597",38,"Private",2,"D","Other-relative","White-Collar","White","f",40,46.37,"universitaria",FALSE
"7801","CS23600",25,"Private",2,"M","Unmarried","White-Collar","Black","f",40.5,47.9,"universitaria",FALSE
"7802","CS23602",15,"Government",2,"D","Not-in-family","White-Collar","White","f",40,48.71,"universitaria",FALSE
"7803","CS23604",36,"Private",2,"D","Own-child","White-Collar","White","f",40,41.76,"universitaria",FALSE
"7804","CS23605",4,"Private",2,"S","Unmarried","Professional","White","f",15.5,39.04,"universitaria",FALSE
"7805","CS23606",2,"Private",16,"S","Own-child","Sales","White","f",25,39.18,"secundaria",FALSE
"7806","CS23607",43,"Private",16,"M","Own-child","Service","Asian-Pac-Islander","f",60,39.96,"secundaria",FALSE
"7807","CS23608",7,"Private",16,"S","Other-relative","White-Collar","White","f",40.5,44.22,"secundaria",FALSE
"7808","CS23609",5,"Private",2,"S","Unmarried","Sales","White","f",20.5,37.86,"universitaria",FALSE
"7809","CS23612",2,"Private",16,"M","Own-child","White-Collar","White","f",40.5,47.24,"secundaria",FALSE
"7810","CS23616",39,"Self-Employed",6,"D","Husband","Professional","White","f",35,41.97,"postuniversitara",FALSE
"7811","CS23617",8,"Private",2,"S","Not-in-family","White-Collar","Black","f",20,42.73,"universitaria",FALSE
"7812","CS23620",31,"Government",3,"D","Husband","White-Collar","White","f",40.5,52.08,"universitaria",FALSE
"7813","CS23623",40,"Self-Employed",2,"D","Not-in-family","Sales","White","f",48.5,40.71,"universitaria",FALSE
"7814","CS23630",16,"Private",4,"D","Husband","Professional","Black","f",35.5,42.09,"universitaria",FALSE
"7815","CS23634",25,"Government",3,"D","Unmarried","White-Collar","Black","f",40.5,49.34,"universitaria",FALSE
"7816","CS23637",30,"Self-Employed",5,"W","Husband","White-Collar","White","f",50,45.78,"universitaria",FALSE
"7817","CS23638",31,"Private",2,"M","Not-in-family","White-Collar","White","f",40,48.56,"universitaria",FALSE
"7818","CS23639",40,"Government",2,"M","Wife","White-Collar","White","f",15,50.79,"universitaria",FALSE
"7819","CS23643",31,"Private",14,"D","Not-in-family","White-Collar","White","f",40.5,45.69,"secundaria",FALSE
"7820","CS23647",26,"Government",2,"D","Husband","White-Collar","Asian-Pac-Islander","f",40,49.72,"universitaria",FALSE
"7821","CS23648",30,"Private",16,"D","Unmarried","White-Collar","White","f",40,44.08,"secundaria",FALSE
"7822","CS23656",9,"Private",16,"S","Other-relative","Blue-Collar","White","f",40.5,39.14,"secundaria",FALSE
"7823","CS23657",21,"Private",2,"S","Own-child","White-Collar","White","f",40.5,43.23,"universitaria",FALSE
"7824","CS23662",21,"Private",16,"D","Husband","White-Collar","White","f",37,46.73,"secundaria",FALSE
"7825","CS23666",19,"Government",2,"D","Husband","White-Collar","White","f",38,43.71,"universitaria",FALSE
"7826","CS23677",58,"Private",12,"W","Own-child","Service","Black","f",20,38.19,"primaria",FALSE
"7827","CS23682",26,"Private",6,"S","Husband","Professional","White","f",50,44.83,"postuniversitara",FALSE
"7828","CS23683",43,"Private",5,"D","Not-in-family","White-Collar","White","f",35.5,46.61,"universitaria",FALSE
"7829","CS23685",25,"Private",3,"M","Own-child","Service","White","f",38.5,44.14,"universitaria",FALSE
"7830","CS23688",9,"Private",4,"D","Husband","White-Collar","White","f",40,42.8,"universitaria",FALSE
"7831","CS23689",27,"Self-Employed",5,"M","Unmarried","Sales","Asian-Pac-Islander","f",40,39.23,"universitaria",FALSE
"7832","CS23692",15,"Private",5,"S","Husband","Professional","White","f",40,40.59,"universitaria",FALSE
"7833","CS23693",6,"Private",16,"S","Not-in-family","White-Collar","White","f",40.5,41.55,"secundaria",FALSE
"7834","CS23697",9,"Private",16,"S","Husband","White-Collar","White","f",46.5,41.18,"secundaria",FALSE
"7835","CS23699",18,"Private",16,"X","Not-in-family","Sales","Black","f",20,37.27,"secundaria",FALSE
"7836","CS23703",22,"Private",5,"D","Not-in-family","White-Collar","White","f",55.5,44.1,"universitaria",FALSE
"7837","CS23710",4,"Private",16,"S","Husband","White-Collar","White","f",20.5,43.06,"secundaria",FALSE
"7838","CS23711",48,"Other/Unknown",16,"D","Own-child","Other/Unknown","White","f",40,36.95,"secundaria",FALSE
"7839","CS23714",23,"Private",2,"D","Husband","White-Collar","White","f",39,42.79,"universitaria",FALSE
"7840","CS23724",15,"Private",16,"M","Own-child","Blue-Collar","Amer-Indian-Eskimo","f",40.5,43.5,"secundaria",FALSE
"7841","CS23727",6,"Private",3,"S","Husband","Service","White","f",12.5,37.86,"universitaria",FALSE
"7842","CS23729",25,"Other/Unknown",3,"M","Not-in-family","Other/Unknown","White","f",5.5,39.67,"universitaria",FALSE
"7843","CS23730",28,"Private",15,"D","Wife","Blue-Collar","White","f",40,43.22,"secundaria",FALSE
"7844","CS23737",30,"Government",11,"S","Husband","Service","Black","f",40,44.62,"primaria",FALSE
"7845","CS23738",10,"Self-Employed",16,"M","Not-in-family","Service","White","f",20,38.97,"secundaria",FALSE
"7846","CS23740",47,"Government",16,"D","Husband","Service","White","f",35,42.93,"secundaria",FALSE
"7847","CS23742",53,"Private",16,"D","Husband","Sales","White","f",20.5,38.48,"secundaria",FALSE
"7848","CS23743",3,"Private",16,"S","Not-in-family","Sales","Black","f",30.5,39.74,"secundaria",FALSE
"7849","CS23744",39,"Other/Unknown",16,"S","Unmarried","Other/Unknown","White","f",40,34.82,"secundaria",FALSE
"7850","CS23746",3,"Government",16,"S","Husband","White-Collar","White","f",20,46.17,"secundaria",FALSE
"7851","CS23747",3,"Private",2,"S","Not-in-family","Service","White","f",30,36.83,"universitaria",FALSE
"7852","CS23748",27,"Private",16,"D","Not-in-family","White-Collar","White","f",40.5,42.77,"secundaria",FALSE
"7853","CS23749",15,"Private",8,"M","Unmarried","Professional","White","f",60,45.34,"postuniversitara",TRUE
"7854","CS23750",50,"Private",2,"M","Wife","White-Collar","White","f",45,47.64,"universitaria",FALSE
"7855","CS23751",16,"Private",16,"S","Wife","Blue-Collar","White","f",40.5,39.32,"secundaria",FALSE
"7856","CS23759",23,"Other/Unknown",13,"W","Not-in-family","Other/Unknown","White","f",15.5,35.18,"primaria",FALSE
"7857","CS23763",24,"Private",6,"S","Not-in-family","White-Collar","White","f",40.5,42.95,"postuniversitara",FALSE
"7858","CS23764",32,"Private",16,"D","Not-in-family","Sales","White","f",30,41.09,"secundaria",FALSE
"7859","CS23767",17,"Private",16,"S","Own-child","White-Collar","White","f",40.5,45.05,"secundaria",FALSE
"7860","CS23770",23,"Government",4,"D","Husband","Professional","White","f",40.5,48.29,"universitaria",FALSE
"7861","CS23772",53,"Government",2,"D","Own-child","White-Collar","Black","f",20,48.57,"universitaria",FALSE
"7862","CS23773",26,"Private",3,"S","Not-in-family","White-Collar","White","f",60,40.11,"universitaria",FALSE
"7863","CS23776",3,"Private",2,"S","Not-in-family","Service","Black","f",30,37.18,"universitaria",FALSE
"7864","CS23777",31,"Private",2,"D","Unmarried","White-Collar","White","f",48.5,46.79,"universitaria",FALSE
"7865","CS23786",2,"Private",2,"S","Not-in-family","Blue-Collar","Black","f",35.5,40.53,"universitaria",FALSE
"7866","CS23787",8,"Private",5,"S","Own-child","White-Collar","White","f",40.5,41.51,"universitaria",FALSE
"7867","CS23789",32,"Government",16,"M","Husband","Service","White","f",40.5,46.29,"secundaria",FALSE
"7868","CS23790",36,"Government",12,"M","Wife","Service","White","f",40.5,45.04,"primaria",FALSE
"7869","CS23793",13,"Other/Unknown",14,"D","Husband","Other/Unknown","White","f",48,35.35,"secundaria",FALSE
"7870","CS23794",4,"Private",2,"S","Not-in-family","Service","White","f",20,37.8,"universitaria",FALSE
"7871","CS23795",15,"Private",16,"D","Own-child","Sales","White","f",25.5,40.89,"secundaria",FALSE
"7872","CS23798",35,"Private",16,"S","Unmarried","Blue-Collar","White","f",40,40.26,"secundaria",FALSE
"7873","CS23799",13,"Private",3,"D","Own-child","White-Collar","White","f",40.5,43.25,"universitaria",FALSE
"7874","CS23801",30,"Private",5,"X","Not-in-family","Service","White","f",40.5,38.73,"universitaria",FALSE
"7875","CS23802",25,"Private",2,"X","Unmarried","Professional","White","f",40,36.78,"universitaria",FALSE
"7876","CS23803",13,"Private",10,"S","Own-child","Service","White","f",40.5,34.91,"primaria",FALSE
"7877","CS23805",18,"Self-Employed",16,"D","Husband","Sales","White","f",50,37.68,"secundaria",FALSE
"7878","CS23807",9,"Private",16,"S","Husband","Service","White","f",30.5,37.19,"secundaria",FALSE
"7879","CS23808",31,"Private",14,"D","Unmarried","Service","Black","f",40,38.17,"secundaria",FALSE
"7880","CS23811",3,"Government",2,"S","Husband","Service","Black","f",35,39.57,"universitaria",FALSE
"7881","CS23813",24,"Government",5,"D","Own-child","Professional","White","f",70,49.79,"universitaria",FALSE
"7882","CS23820",20,"Private",14,"W","Husband","Service","Black","f",12.5,38.61,"secundaria",FALSE
"7883","CS23822",4,"Other/Unknown",2,"S","Husband","Other/Unknown","Other","f",35.5,27.59,"universitaria",FALSE
"7884","CS23823",25,"Private",16,"S","Own-child","White-Collar","White","f",40,45.01,"secundaria",FALSE
"7885","CS23826",12,"Private",5,"S","Husband","Professional","White","f",15,38.78,"universitaria",FALSE
"7886","CS23830",29,"Self-Employed",2,"M","Not-in-family","Service","White","f",40.5,40.39,"universitaria",TRUE
"7887","CS23831",28,"Private",5,"D","Wife","White-Collar","White","f",40,44.18,"universitaria",FALSE
"7888","CS23832",11,"Private",3,"S","Unmarried","Service","Asian-Pac-Islander","f",40,35.91,"universitaria",FALSE
"7889","CS23834",33,"Private",16,"W","Husband","Service","White","f",45.5,38.65,"secundaria",FALSE
"7890","CS23842",22,"Private",4,"D","Husband","White-Collar","White","f",40.5,44.04,"universitaria",FALSE
"7891","CS23846",26,"Private",16,"D","Husband","Blue-Collar","White","f",40,45.45,"secundaria",FALSE
"7892","CS23847",52,"Government",16,"W","Not-in-family","Blue-Collar","Black","f",40.5,44.43,"secundaria",FALSE
"7893","CS23848",27,"Private",16,"X","Not-in-family","White-Collar","Black","f",32.5,41.23,"secundaria",FALSE
"7894","CS23850",21,"Private",13,"D","Husband","White-Collar","White","f",35,41.07,"primaria",FALSE
"7895","CS23851",9,"Private",2,"S","Unmarried","Service","White","f",40.5,39.84,"universitaria",FALSE
"7896","CS23864",35,"Government",16,"D","Husband","White-Collar","White","f",40,47.33,"secundaria",FALSE
"7897","CS23865",53,"Other/Unknown",13,"S","Not-in-family","Other/Unknown","Black","f",35,35.83,"primaria",FALSE
"7898","CS23866",12,"Private",14,"M","Not-in-family","Service","White","f",35.5,42.88,"secundaria",FALSE
"7899","CS23869",31,"Private",16,"D","Husband","White-Collar","White","f",20,44.83,"secundaria",FALSE
"7900","CS23881",1,"Private",15,"S","Husband","Sales","White","f",20.5,35.38,"secundaria",FALSE
"7901","CS23885",24,"Private",16,"D","Unmarried","White-Collar","White","f",40,45.72,"secundaria",FALSE
"7902","CS23887",6,"Government",5,"S","Husband","Professional","White","f",20,42.45,"universitaria",FALSE
"7903","CS23888",43,"Private",14,"W","Own-child","Service","White","f",40.5,40.03,"secundaria",FALSE
"7904","CS23890",26,"Private",5,"M","Husband","Blue-Collar","Black","f",35.5,47.41,"universitaria",FALSE
"7905","CS23893",27,"Private",16,"D","Husband","Blue-Collar","Black","f",40,43.41,"secundaria",FALSE
"7906","CS23899",31,"Private",16,"M","Not-in-family","Service","White","f",38,44.3,"secundaria",FALSE
"7907","CS23901",24,"Private",16,"M","Husband","Service","White","f",45.5,44.31,"secundaria",FALSE
"7908","CS23906",33,"Private",16,"S","Not-in-family","Blue-Collar","Black","f",40,45.27,"secundaria",FALSE
"7909","CS23909",6,"Private",14,"S","Not-in-family","Service","White","f",30.5,34.58,"secundaria",FALSE
"7910","CS23910",34,"Private",13,"X","Own-child","White-Collar","Black","f",47,41.35,"primaria",FALSE
"7911","CS23914",59,"Private",12,"W","Husband","Service","White","f",9.5,36.06,"primaria",FALSE
"7912","CS23915",8,"Other/Unknown",16,"S","Unmarried","Other/Unknown","Asian-Pac-Islander","f",45.5,35.11,"secundaria",FALSE
"7913","CS23918",12,"Other/Unknown",15,"M","Husband","Other/Unknown","White","f",20.5,35.79,"secundaria",FALSE
"7914","CS23919",30,"Private",2,"M","Wife","White-Collar","White","f",40.5,47.94,"universitaria",FALSE
"7915","CS23920",4,"Other/Unknown",2,"S","Wife","Other/Unknown","White","f",35.5,37.74,"universitaria",FALSE
"7916","CS23924",2,"Private",15,"S","Not-in-family","White-Collar","White","f",20,43.91,"secundaria",FALSE
"7917","CS23925",25,"Private",5,"D","Own-child","White-Collar","Black","f",40.5,48.67,"universitaria",TRUE
"7918","CS23930",26,"Private",5,"D","Not-in-family","White-Collar","White","f",45,44.33,"universitaria",FALSE
"7919","CS23933",57,"Private",3,"S","Husband","White-Collar","White","f",40,43.21,"universitaria",FALSE
"7920","CS23935",28,"Private",16,"M","Not-in-family","White-Collar","Black","f",40.5,46.25,"secundaria",FALSE
"7921","CS23940",10,"Private",5,"S","Husband","Sales","White","f",55.5,43.57,"universitaria",FALSE
"7922","CS23945",5,"Private",2,"S","Own-child","Service","White","f",35,40.17,"universitaria",FALSE
"7923","CS23947",3,"Private",2,"S","Own-child","Sales","Asian-Pac-Islander","f",18,33.86,"universitaria",FALSE
"7924","CS23948",22.5804861517607,"Private",16,"W","Own-child","White-Collar","White","f",32,43.86,"secundaria",FALSE
"7925","CS23954",14,"Other/Unknown",5,"M","Own-child","Other/Unknown","White","f",20,38.3,"universitaria",FALSE
"7926","CS23957",13,"Government",2,"S","Husband","Service","White","f",40.5,39.05,"universitaria",FALSE
"7927","CS23959",3,"Private",2,"S","Husband","White-Collar","White","f",20.5,38.41,"universitaria",FALSE
"7928","CS23967",30,"Private",16,"M","Own-child","White-Collar","White","f",28.5,47.2,"secundaria",FALSE
"7929","CS23968",26,"Private",6,"M","Wife","Professional","White","f",45,44.73,"postuniversitara",FALSE
"7930","CS23969",13,"Private",2,"S","Wife","Sales","White","f",40,37.89,"universitaria",FALSE
"7931","CS23972",31,"Private",6,"D","Husband","Professional","White","f",40.5,44.32,"postuniversitara",FALSE
"7932","CS23975",30,"Private",5,"D","Husband","Sales","Black","f",35,40.04,"universitaria",FALSE
"7933","CS23978",23,"Private",16,"D","Husband","White-Collar","White","f",40.5,44.56,"secundaria",FALSE
"7934","CS23980",56,"Other/Unknown",16,"W","Husband","Other/Unknown","White","f",12.5,38.47,"secundaria",FALSE
"7935","CS23982",19,"Private",5,"S","Husband","White-Collar","White","f",50.5,44.97,"universitaria",FALSE
"7936","CS23984",5,"Private",2,"S","Husband","Sales","White","f",60,39.29,"universitaria",FALSE
"7937","CS23985",6,"Private",4,"S","Own-child","Professional","White","f",16.5,38.06,"universitaria",FALSE
"7938","CS23990",15,"Self-Employed",4,"M","Husband","Service","White","f",35,38.26,"universitaria",FALSE
"7939","CS23992",27,"Private",16,"M","Not-in-family","Professional","White","f",35,42.47,"secundaria",FALSE
"7940","CS23993",12,"Government",5,"S","Wife","Professional","Black","f",60.5,45.6,"universitaria",FALSE
"7941","CS23996",26,"Private",16,"X","Husband","Service","White","f",25,37.98,"secundaria",FALSE
"7942","CS23997",7,"Private",5,"S","Unmarried","Professional","White","f",40,38.66,"universitaria",FALSE
"7943","CS24000",3,"Private",14,"S","Husband","Sales","Other","f",32.5,30.06,"secundaria",FALSE
"7944","CS24002",25,"Private",16,"D","Own-child","Blue-Collar","White","f",50.5,45.3,"secundaria",FALSE
"7945","CS24004",35,"Private",16,"X","Husband","Blue-Collar","White","f",40.5,39.73,"secundaria",FALSE
"7946","CS24006",13,"Government",6,"S","Not-in-family","Professional","Asian-Pac-Islander","f",20,45.43,"postuniversitara",FALSE
"7947","CS24011",5,"Private",14,"S","Husband","Service","White","f",35.5,37.49,"secundaria",FALSE
"7948","CS24015",43,"Other/Unknown",5,"W","Husband","Other/Unknown","White","f",50,36,"universitaria",FALSE
"7949","CS24017",50,"Government",11,"W","Own-child","Service","White","f",24.5,42.85,"primaria",FALSE
"7950","CS24021",37,"Private",7,"S","Own-child","Professional","White","f",40.5,40.02,"postuniversitara",FALSE
"7951","CS24022",8,"Private",5,"S","Not-in-family","Sales","White","f",40,38.99,"universitaria",FALSE
"7952","CS24024",18,"Private",3,"M","Husband","White-Collar","White","f",18.5,50.6,"universitaria",FALSE
"7953","CS24027",62,"Private",6,"S","Husband","White-Collar","White","f",40.5,48.75,"postuniversitara",FALSE
"7954","CS24028",33,"Private",3,"M","Not-in-family","Professional","White","f",60.5,43.42,"universitaria",FALSE
"7955","CS24030",31,"Private",2,"M","Husband","White-Collar","White","f",35.5,44.83,"universitaria",FALSE
"7956","CS24040",11,"Private",2,"S","Not-in-family","White-Collar","White","f",40,43.8,"universitaria",FALSE
"7957","CS24044",35,"Private",2,"D","Not-in-family","Sales","White","f",45.5,38.29,"universitaria",FALSE
"7958","CS24046",23,"Private",11,"M","Husband","Blue-Collar","Other","f",40,33.15,"primaria",FALSE
"7959","CS24050",8,"Private",4,"M","Husband","White-Collar","White","f",40.5,43.56,"universitaria",FALSE
"7960","CS24053",32,"Other/Unknown",2,"M","Husband","Other/Unknown","White","f",20,36.37,"universitaria",FALSE
"7961","CS24057",33,"Private",2,"D","Own-child","Blue-Collar","White","f",35.5,47.54,"universitaria",FALSE
"7962","CS24059",3,"Private",2,"S","Not-in-family","Service","White","f",30,40.41,"universitaria",FALSE
"7963","CS24061",38,"Private",16,"M","Husband","Service","Black","f",40,40.09,"secundaria",FALSE
"7964","CS24062",8,"Private",2,"M","Wife","Professional","White","f",40.5,46.42,"universitaria",FALSE
"7965","CS24070",17,"Private",2,"D","Own-child","White-Collar","Asian-Pac-Islander","f",52,40.8,"universitaria",FALSE
"7966","CS24077",7,"Private",2,"S","Not-in-family","Service","White","f",30,38.5,"universitaria",FALSE
"7967","CS24079",18,"Private",16,"D","Husband","White-Collar","White","f",40,44.02,"secundaria",FALSE
"7968","CS24080",24,"Private",2,"S","Own-child","White-Collar","Black","f",40,42.43,"universitaria",FALSE
"7969","CS24081",53,"Self-Employed",16,"W","Not-in-family","Service","White","f",30.5,36.24,"secundaria",FALSE
"7970","CS24083",18,"Private",16,"S","Husband","White-Collar","White","f",40,39.76,"secundaria",FALSE
"7971","CS24087",24,"Private",2,"D","Own-child","White-Collar","White","f",30.5,44.73,"universitaria",FALSE
"7972","CS24091",9,"Private",5,"S","Husband","White-Collar","White","f",40.5,47.99,"universitaria",FALSE
"7973","CS24094",29,"Private",16,"D","Not-in-family","White-Collar","White","f",40.5,44.86,"secundaria",FALSE
"7974","CS24096",23,"Self-Employed",6,"S","Husband","Professional","White","f",50,39.73,"postuniversitara",FALSE
"7975","CS24102",19,"Private",5,"S","Husband","Blue-Collar","Asian-Pac-Islander","f",50,40.4,"universitaria",FALSE
"7976","CS24109",11,"Other/Unknown",12,"X","Not-in-family","Other/Unknown","White","f",50,33.19,"primaria",FALSE
"7977","CS24112",44,"Private",4,"W","Own-child","White-Collar","White","f",40,44.06,"universitaria",FALSE
"7978","CS24116",4,"Private",2,"S","Not-in-family","Sales","White","f",35.5,37.94,"universitaria",FALSE
"7979","CS24118",12,"Private",2,"S","Not-in-family","Service","White","f",30,34.54,"universitaria",FALSE
